Material,tipo,Cantidad total
627125,colorante,14.01
627125,emulsionante,190.0
627125,excipiente,192.36
627135,excipiente,174.86
627135,emulsionante,190.0
627135,colorante,8.68
627135,agua,626.46
627175,agua,618.72
627175,colorante,13.92
627175,emulsionante,190.0
627175,excipiente,177.36
627305,agua,605.84
627305,colorante,12.3
627305,emulsionante,190.0
627305,excipiente,191.86
627325,agua,605.74
627325,colorante,14.4
627325,emulsionante,190.0
627325,excipiente,189.86
627335,excipiente,199.36
627335,emulsionante,160.0
627335,colorante,13.0
627335,agua,627.64
627345,agua,611.14
627345,colorante,13.5
627345,emulsionante,160.0
627345,excipiente,215.36
627365,agua,605.94
627365,colorante,14.2
627365,emulsionante,190.0
627365,excipiente,189.86
627435,agua,613.64
627435,colorante,20.5
627435,emulsionante,190.0
627435,excipiente,175.86
627445,excipiente,177.86
627445,emulsionante,195.0
627445,colorante,9.73
627445,agua,617.41
627455,agua,596.97
627455,colorante,25.67
627455,emulsionante,200.0
627455,excipiente,177.36
627465,agua,600.34
627465,colorante,14.8
627465,emulsionante,210.0
627465,excipiente,174.86
627485,agua,606.47
627485,colorante,25.67
627485,emulsionante,165.0
627485,excipiente,202.86
627495,emulsionante,210.0
627495,excipiente,205.36
627495,agua,560.19
627495,colorante,24.45
627505,agua,576.64
627505,colorante,13.5
627505,emulsionante,240.0
627505,excipiente,169.86
627595,agua,567.14
627595,colorante,27.5
627595,emulsionante,200.0
627595,excipiente,205.36
627605,agua,597.24
627605,colorante,15.4
627605,emulsionante,210.0
627605,excipiente,177.36
627615,excipiente,211.86
627615,emulsionante,260.0
627615,colorante,22.9
627615,agua,505.24
627645,agua,625.76
627645,colorante,9.38
627645,emulsionante,190.0
627645,excipiente,174.86
627655,agua,579.34
627655,colorante,20.8
627655,emulsionante,220.0
627655,excipiente,179.86
627665,agua,495.14
627665,colorante,30.0
627665,emulsionante,260.0
627665,excipiente,214.86
628005,emulsionante,190.0
628005,excipiente,176.86
628005,agua,621.04
628005,colorante,12.1
628065,agua,613.19
628065,colorante,10.95
628065,emulsionante,200.0
628065,excipiente,175.86
628085,agua,579.48
628085,colorante,13.66
628085,emulsionante,200.0
628085,excipiente,206.86
628125,agua,600.15
628125,colorante,9.99
628125,emulsionante,200.0
628125,excipiente,189.86
